%% LaTeX2e file `siftsigma.dat'
%% generated by the `filecontents' environment
%% from source `bare_conf_compsoc' on 2018/04/15.
%%
0.1,0.173
0.3,0.101
0.9,0.425
1,0.429
1.2,0.416
1.4,0.403
1.7,0.385
2,0.355
2.4,0.341
2.8,0.331
3.2,0.293
3.7,0.280
4,0.279
